SUBJECT	IEDB alternative term:	definition:	CLASS_TYPE	:>> %	:>> 'has part' some %	:>> has_specified_input some %	:>> (has_specified_input some %) and (realizes some ('reagent role' and ('inheres in' some %)))	:>> has_specified_input some (% and ('has part' some 'MH:>> protein complex'))	:>> has_specified_output some ('information content entity' and ('is about' some %))	:>> has_specified_output some ('information content entity' and ('is about' some (% and ('process is result of' some 'immunoglobulin binding to epitope'))))	:>> has_specified_output some ('information content entity' and ('is about' some (% and ('process is result of' some 'MHC:epitope complex binding to TCR'))))	:>> has_specified_output some %	:>> has_specified_output some ('has measurement unit label' value %)	term editor:	definition source:
biological activity assay measuring epitope specific T cell activation	activation|biological activity	A T cell epitope dependent biological activity assay that detects T cell activation.	subclass of	assay measuring T cell epitope specific biological activity										IEDB	IEDB
cytometric bead array assay measuring epitope specific RANTES production by T cells	CCL5/RANTES release|cytometric bead array	An assay of epitope specific RANTES production by T cells that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring epitope specific RANTES production by T cells	cytometric bead array assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cell culture analyte detection bioassay measuring epitope specific interleukin-6 production by T cells	IL-6 release|bioassay	An assay of epitope specific interleukin-6 production by T cells that uses a cell culture analyte detection bioassay.	equivalent to	biological activity assay measuring epitope specific interleukin-6 production by T cells	reporter cell line analyte detection bioassay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific interferon-gamma production by T cells	IFNg release|biological activity	A T cell epitope specific cytokine production assay that detects interferon-gamma production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					interferon-gamma production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific tumor necrosis factor production by T cells	TNFa release|biological activity	An assay of epitope specific tumor necrosis factor superfamily cytokine production by T cells that detects tumor necrosis factor production.	equivalent to	biological activity assay measuring epitope specific tumor necrosis factor superfamily cytokine production by T cells					tumor necrosis factor production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
intracellular material detection measuring epitope specific granzyme B release by T cells	granzyme B release|intracellular staining	A T cell epitope specific granzyme B release assay that uses an intracellular material detection by flow cytometry assay.	equivalent to	biological activity assay measuring epitope specific granzyme B release by T cells	flow cytometry assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
radio immuno assay measuring epitope specific interferon-gamma production by T cells	IFNg release|radio immuno assay (RIA)	An assay of epitope specific interferon-gamma production by T cells that uses a radio immuno assay.	equivalent to	biological activity assay measuring epitope specific interferon-gamma production by T cells	radio immuno assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific granzyme B release by T cells	granzyme B release|biological activity	A T cell epitope specific cytotoxic T cell degranulation assay that detects granzyme B release by T cells.	equivalent to	biological activity assay measuring epitope specific cytotoxic T cell degranulation					granzyme B production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
intracellular cytokine staining assay measuring epitope specific chemokine (C-X-C motif) ligand 9 production by T cells	CXCL9/MIG release|ICS	An assay of epitope specific chemokine (C-X-C motif) ligand 9 production by T cells that uses an intracellular cytokine staining assay.	equivalent to	biological activity assay measuring epitope specific chemokine (C-X-C motif) ligand 9 production by T cells	flow cytometry assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific macrophage inflammatory protein-1 gamma production by T cells	CCL9/MIP-1g release|ELISA	An assay of epitope specific macrophage inflammatory protein-1 gamma production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific macrophage inflammatory protein-1 gamma production by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific interleukin-2 production by T cells	IL-2 release|biological activity	A T cell epitope specific cytokine production assay that detects interleukin-2 production by T cells.	subclass of	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-2 production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific interleukin-1 beta production by T cells	IL-1b release|biological activity	A T cell epitope specific cytokine production assay that detects interleukin-1 beta production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-1 beta production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific interleukin-4 production by T cells	IL-4 release|biological activity	A T cell epitope specific cytokine production assay that detects interleukin-4 production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-4 production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific interleukin-6 production by T cells	IL-6 release|biological activity	A T cell epitope specific cytokine production assay that detects interleukin-6 production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-6 production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cell culture analyte detection bioassay measuring epitope specific tumor necrosis factor production by T cells	TNFa release|bioassay	A T cell epitope specific tumor necrosis factor production assay that uses a cell culture analyte detection bioassay.	equivalent to	biological activity assay measuring epitope specific tumor necrosis factor production by T cells	reporter cell line analyte detection bioassay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
intracellular cytokine staining assay measuring epitope specific lymphotoxin A production by T cells	lymphotoxin A/TNFb release|ICS	An assay of epitope specific lymphotoxin A production by T cells that uses an intracellular cytokine staining assay.	equivalent to	biological activity assay measuring epitope specific lymphotoxin A production by T cells	flow cytometry assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISPOT assay measuring epitope specific interleukin-5 production by T cells	IL-5 release|ELISPOT	An assay of epitope specific interleukin-5 production by T cells that uses an ELISPOT assay.	equivalent to	biological activity assay measuring epitope specific interleukin-5 production by T cells	enzyme-linked immunospot assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific macrophage inflammatory protein-1 gamma production by T cells	CCL9/MIP-1g release|biological activity	A T cell epitope specific cytokine production assay that detects macrophage inflammatory protein-1 gamma production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					macrophage inflammatory protein-1 gamma production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cytometric bead array assay measuring epitope specific interleukin-8 production by T cells	IL-8 release|cytometric bead array	An assay of epitope specific interleukin-8 production by T cells that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring epitope specific interleukin-8 production by T cells	cytometric bead array assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific chemokine (C-X-C motif) ligand 9 production by T cells	CXCL9/MIG release|biological activity	A T cell epitope specific cytokine production assay that detects chemokine (C-X-C motif) ligand 9 production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					chemokine (C-X-C motif) ligand 9 production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific granzyme B release by T cells	granzyme B release|ELISA	A T cell epitope specific granzyme B release assay that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific granzyme B release by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific monocyte chemotactic protein-1 production by T cells	CCL2/MCP-1 release|biological activity	A T cell epitope specific cytokine production assay that detects monocyte chemotactic protein-1 production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					monocyte chemotactic protein-1 production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
intracellular cytokine staining assay measuring epitope specific interleukin-12 production by T cells	IL-12 release|ICS	An assay of epitope specific interleukin-12 production by T cells that uses an intracellular cytokine staining assay.	equivalent to	biological activity assay measuring epitope specific interleukin-12 production by T cells	flow cytometry assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
in vivo assay measuring T cell epitope specific disease exacerbation	disease exacerbation|in vivo assay	An efficacy of T cell epitope intervention experiment that uses a disease exacerbation in vivo intervention experiment.	equivalent to	biological activity assay measuring T cell epitope specific in vivo activity	disease exacerbation in vivo intervention experiment									IEDB	IEDB
monospecific T cell recognition assay measuring MHC ligand processing and presentation	ligand presentation|T cell recognition 	A MHC ligand processing and presentation assay in which the presence of a specific ligand in an eluate is detected using the response of T cells that are known to be monospecific for that ligand as a readout.	subclass of	assay measuring MHC ligand processing and presentation	assay measuring binding of a T cell epitope:MHC:TCR complex									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
in vivo assay measuring T cell epitope specific protection from tumor challenge	tumor burden after challenge|in vivo assay	A T cell epitope in vivo intervention experiment that uses a protection from challenge in vivo intervention experiment based on tumor burden.	equivalent to	in vivo assay measuring T cell epitope specific protection from challenge	protection from challenge in vivo intervention experiment	cancer cell line								IEDB	IEDB
in vivo assay measuring T cell epitope specific protection from infectious challenge based on pathogen burden	pathogen burden after challenge|in vivo assay	A T cell epitope in vivo intervention experiment that uses a protection from challenge in vivo intervention experiment based on pathogen burden.	equivalent to	in vivo assay measuring T cell epitope specific protection from challenge	protection from challenge in vivo intervention experiment	('material entity' and 'has role' some 'pathogen role')								IEDB	IEDB
mass spectrometry assay measuring MHC ligand processing and presentation	ligand presentation|mass spectrometry	A MHC ligand processing and presentation assay that uses a mass spectrometry assay to identify eluted ligands	equivalent to	assay measuring MHC ligand processing and presentation	mass spectrometry assay									IEDB	IEDB
intracellular cytokine staining assay measuring epitope specific transforming growth factor-beta production by T cells	TGFb release|ICS	An assay of epitope specifictransforming growth factor-beta production by T cells that uses an intracellular cytokine staining assay.	equivalent to	biological activity assay measuring epitope specific transforming growth factor-beta production by T cells	flow cytometry assay									IEDB	IEDB
biological activity assay measuring T cell epitope specific in vivo activity	in vivo activity|biological activity	A T cell epitope dependent biological activity determination assay that uses an in vivo intervention experiment.	equivalent to	assay measuring T cell epitope specific biological activity	in vivo intervention experiment	organism								IEDB	IEDB
mass spectrometry assay measuring MHC ligand processing and presentation of MHC ligands eluted from cellular MHC	ligand presentation|cellular MHC/mass spectrometry	A mass spectrometry of MHC ligands assay that identifies eluted ligands from cell bound MHC.	subclass of	mass spectrometry assay measuring MHC ligand processing and presentation	mass spectrometry assay									IEDB	IEDB
cytometric bead array measuring epitope specific granulocyte macrophage colony-stimulating factor production by T cells	GM-CSF release|cytometric bead array	An assay of epitope specific granulocyte macrophage colony stimulating factor production by T cells that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring epitope specific granulocyte macrophage colony stimulating factor production by T cells	cytometric bead array assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
in vivo assay measuring T cell epitope specific protection based on survival	survival from challenge|in vivo assay	A T cell epitope in vivo intervention experiment that uses a protection from challenge in vivo intervention experiment based on survival.	equivalent to	in vivo assay measuring T cell epitope specific protection from challenge	epitope protection experiment based on survival									IEDB	IEDB
cell bound MHC competitive binding assay of a MHC:ligand complex using T cell epitope recognition	qualitative binding|cellular MHC/T cell inhibition	A cell bound MHC binding assay that uses a T cell epitope recognition assay.	subclass of	cell bound MHC binding assay measuring binding of a MHC:ligand complex	assay measuring binding of a T cell epitope:MHC:TCR complex	('material entity' and 'has role' some 'competitive binding reference ligand role')		cell						IEDB	IEDB
biological activity assay measuring epitope specific T cell helper activity	helper response|biological activity	A T cell epitope dependent biological activity assay that detects the ability of epitope specific helper T cells to enhance either B cell or T cell adaptive immune response function.	equivalent to	assay measuring T cell epitope specific biological activity					helper T cell enhancement of adaptive immune response		('helper T cell enhancement of T cell mediated immune response' or 'helper T cell enhancement of B cell mediated immune response')			IEDB	IEDB
intracellular cytokine staining assay measuring epitope specific interleukin-22 production by T cells	IL-22 release|ICS	An assay of epitope specific interleukin-22 production by T cells that uses an intracellular cytokine staining assay.	equivalent to	biological activity assay measuring epitope specific interleukin-22 production by T cells	flow cytometry assay									IEDB	IEDB
biological activity assay measuring epitope specific perforin release by T cells	perforin release|biological activity	A T cell epitope specific cytotoxic T cell degranulation assay that detects perforin release by T cells.	equivalent to	biological activity assay measuring epitope specific cytotoxic T cell degranulation					perforin production					IEDB	IEDB
coelution assay measuring MHC ligand processing and presentation using T cell recognition of HPLC fractionated eluate compared to synthetic ligand	ligand presentation|coelution	A MHC ligand processing and presentation assay in which an HPL chromatography is run to separate an input mixture of ligands eluted from MHC into fractions. These fractions are tested for recognition by T cells and compared to the recognition of a synthetic ligand that is presumed to be the recognized epitope. Identical HPLC fractionation and T cell recognition patterns confirm that the specific ligand was presented by MHC molecules. 	subclass of	assay measuring MHC ligand processing and presentation	assay measuring binding of a T cell epitope:MHC:TCR complex	('material entity' and 'has role' some 'positive reference substance role')								PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
in vivo assay measuring T cell epitope specific treatment of disease	decreased disease|in vivo assay	An efficacy of T cell epitope intervention experiment that detects a decrease in disease.	equivalent to	biological activity assay measuring T cell epitope specific in vivo activity	treatment intervention experiment									IEDB	IEDB
Edman degradation assay measuring MHC ligand processing and presentation	ligand presentation|Edman degradation	A MHC ligand processing and presentation assay that uses Edman degradation to identify the eluted ligands	equivalent to	assay measuring MHC ligand processing and presentation	Edman degradation									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
mass spectrometry assay measuring MHC ligand processing and presentation of MHC ligands eluted from secreted MHC	ligand presentation|secreted MHC/mass spectrometry 	A mass spectrometry of MHC ligands that identifies eluted ligands from secreted MHC.	subclass of	mass spectrometry assay measuring MHC ligand processing and presentation	mass spectrometry assay									IEDB	IEDB
cytometric bead array assay measuring epitope specific interleukin-17A production by T cells	IL-17A release|cytometric bead array	A T cell epitope specific interleukin-17A production assay that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring epitope specific interleukin-17A production by T cells	cytometric bead array assay									IEDB	IEDB
purified MHC competitive binding assay of a MHC:ligand complex using radioactivity detection	qualitative binding|purified MHC/competitive/radioactivity	A purified MHC binding assay that uses radioactivity detection to detect loss of binding of a known reference ligand due to competition by the ligand under investigation.	subclass of	purified MHC binding assay measuring binding of a MHC:ligand complex	radioactivity detection	('material entity' and 'has role' some 'competitive binding reference ligand role')		purified MHC molecule preparation						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cell lysate MHC direct binding assay measuring half maximal effective concentration [EC50] of a MHC:ligand complex using radioactivity detection	half maximal effective concentration (EC50)|lysate MHC/direct/radioactivity|nM	A cell lysate MHC ligand binding half maximal effective concentration (EC50) determination assay that uses radioactivity detection to measure direct ligand binding.	equivalent to	assay measuring the half maximal effective concentration [EC50] of a MHC:ligand complex	radioactivity detection			cell lysate					nanomolar	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cell bound MHC competitive binding assay measuring half maximal inhibitory concentration [IC50] of a MHC:ligand complex using radioactivity detection	half maximal inhibitory concentration (IC50)|cellular MHC/competitive/radioactivity|nM	A cell bound MHC ligand binding half maximal inhibitory concentration (IC50) determination assay that uses radioactivity detection to detect loss of binding of a known reference ligand due to competition by the ligand under investigation.	equivalent to	assay measuring the half maximal inhibitory concentration [IC50] of a MHC:ligand complex	radioactivity detection	('material entity' and 'has role' some 'competitive binding reference ligand role')		cell					nanomolar	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cell lysate MHC direct binding assay of a MHC:ligand complex using fluorescence detection	qualitative binding|lysate MHC/direct/fluorescence	A cell lysate MHC binding assay that uses fluorescence detection to detect direct binding.	subclass of	cell lysate MHC binding assay measuring binding of a MHC:ligand complex	fluorescence detection assay			cell lysate						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cell bound MHC competitive binding assay measuring half maximal inhibitory concentration [IC50] of a MHC:ligand complex using fluorescence detection	half maximal inhibitory concentration (IC50)|cellular MHC/competitive/fluorescence|nM	A cell bound MHC ligand binding half maximal inhibitory concentration (IC50) determination assay that uses fluorescence detection to detect loss of binding of a known reference ligand due to competition by the ligand under investigation.	equivalent to	assay measuring the half maximal inhibitory concentration [IC50] of a MHC:ligand complex	fluorescence detection assay	('material entity' and 'has role' some 'competitive binding reference ligand role')		cell					nanomolar	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific granulocyte colony stimulating factor production by T cells	G-CSF release|ELISA	An assay of epitope specific granulocyte colony stimulating factor production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific granulocyte colony stimulating factor production by T cells	enzyme-linked immunosorbent assay									IEDB	IEDB
cytometric bead array assay measuring epitope specific interleukin-17F production by T cells	IL-17F release|cytometric bead array	A T cell epitope specific interleukin-17F production assay that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring epitope specific interleukin-17F production by T cells	cytometric bead array assay									IEDB	IEDB
cell bound MHC direct binding assay measuring equilibrium association constant [KA] of a MHC:ligand complex using fluorescence detection	association constant KA|cellular MHC/direct/fluorescence|1/M	A cell bound MHC ligand binding equilibrium association constant (KA) determination assay that uses fluorescence detection to detect direct binding.	equivalent to	assay measuring the association constant [KA] of a MHC:ligand complex	fluorescence detection assay			cell					count per molar	IEDB	IEDB
purified MHC direct binding assay measuring half life of a MHC:ligand complex using fluorescence detection	half life|purified MHC/direct/fluorescence|min	A purified MHC ligand half life of binding determination assay that uses fluorescence detection to measure direct ligand binding.	equivalent to	assay measuring the half life of a MHC:ligand complex	fluorescence detection assay			purified MHC molecule preparation					minute	IEDB	IEDB
cytometric bead array assay measuring epitope specific interleukin-9 production by T cells	IL-9 release|cytometric bead array	An assay of epitope specific interleukin-9 production by T cells that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring interleukin-9 production by T cells	cytometric bead array assay									IEDB	IEDB
purified MHC competitive binding assay measuring binding of a MHC:ligand complex using fluorescence detection	qualitative binding|purified MHC/competitive/fluorescence	A purified MHC binding assay that uses fluorescence detection to detect loss of binding of a known reference ligand due to competition by the ligand under investigation.	subclass of	purified MHC binding assay measuring binding of a MHC:ligand complex	fluorescence detection assay	('material entity' and 'has role' some 'competitive binding reference ligand role')		purified MHC molecule preparation						IEDB	IEDB
purified MHC competitive binding assay measuring equilibrium dissociation constant [KD] of a MHC:ligand complex using fluorescence detection	dissociation constant KD|purified MHC/competitive/fluorescence|nM	A purified MHC ligand binding equilibrium dissociation constant (KD) determination assay that uses fluorescence detection to detect loss of binding of a known reference ligand due to competition by the ligand under investigation.	equivalent to	assay measuring the dissociation constant [KD] of a MHC:ligand complex	fluorescence detection assay	('material entity' and 'has role' some 'competitive binding reference ligand role')		purified MHC molecule preparation					nanomolar	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cell bound MHC competitive binding assay measuring equilibrium dissociation constant [KD] of a MHC:ligand complex using fluorescence detection	dissociation constant KD|cellular MHC/competitive/fluorescence|nM	A cell bound MHC ligand binding equilibrium dissociation constant (KD) determination assay that uses fluorescence detection to detect loss of binding of a known reference ligand due to competition by the ligand under investigation.	equivalent to	assay measuring the dissociation constant [KD] of a MHC:ligand complex	fluorescence detection assay	('material entity' and 'has role' some 'competitive binding reference ligand role')		cell					nanomolar	IEDB	IEDB
purified MHC direct binding assay measuring binding on rate [kon] of a MHC:ligand complex using fluorescence detection	on rate|purified MHC/direct/fluorescence|nM^-1s^-1	A purified MHC ligand binding on rate (kon) determination assay that uses fluorescence detection to measure direct ligand binding.	equivalent to	assay measuring the MHC ligand binding on rate [kon] of a MHC:ligand complex	fluorescence detection assay			purified MHC molecule preparation					count per nanomolar second	IEDB	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-13 production by T cells	IL-13 release|RNA/DNA detection	An assay of epitope specific interleukin-13 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific interleukin-13 production by T cells	detection of specific nucleic acid polymers with complementary probes									IEDB	IEDB
purified MHC direct binding assay measuring equilibrium dissociation constant [KD] of a MHC:ligand complex approximated by EC50 using fluorescence detection	dissociation constant KD (~EC50)|purified MHC/direct/fluorescence|nM	A purified MHC ligand binding equilibrium dissociation constant (KD) determination assay that uses fluorescence detection to measure direct ligand binding and provides EC50 values determined under assay conditions where the EC50 approximates a KD value. 	subclass of	assay measuring the dissociation constant [KD] of a MHC:ligand complex	fluorescence detection assay			purified MHC molecule preparation					nanomolar	IEDB	IEDB
cell lysate MHC competitive binding assay measuring equilibrium dissociation constant [KD] of a MHC:ligand complex using radioactivity detection	dissociation constant KD|lysate MHC/competitive/radioactivity|nM	A cell lysate MHC ligand binding equilibrium dissociation constant (KD) determination assay that uses radioactivity detection to detect loss of binding of a known reference ligand due to competition by the ligand under investigation.	equivalent to	assay measuring the dissociation constant [KD] of a MHC:ligand complex	radioactivity detection	('material entity' and 'has role' some 'competitive binding reference ligand role')		cell lysate					nanomolar	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
intracellular cytokine staining assay measuring epitope specific macrophage inflammatory protein-1 alpha production by T cells	CCL3/MIP-1a release|ICS	An assay of epitope specific macrophage inflammatory protein-1 alpha production by T cells that uses an intracellular cytokine staining assay.	equivalent to	biological activity assay measuring epitope specific macrophage inflammatory protein-1 alpha production by T cells	flow cytometry assay									IEDB	IEDB
cell bound MHC competitive binding assay measuring equilibrium dissociation constant [KD] of a MHC:ligand complex using radioactivity detection	dissociation constant KD|cellular MHC/competitive/radioactivity|nM	A cell bound MHC ligand binding equilibrium dissociation constant (KD) determination assay that uses radioactivity detection to detect loss of binding of a known reference ligand due to competition by the ligand under investigation.	equivalent to	assay measuring the dissociation constant [KD] of a MHC:ligand complex	radioactivity detection	('material entity' and 'has role' some 'competitive binding reference ligand role')		cell					nanomolar	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cell bound MHC binding assay measuring binding of a MHC:ligand complex	qualitative binding|cellular MHC	A MHC binding qualitative binding to ligand assay measuring MHC ligand binding using MHC present on cells.	equivalent to	assay measuring qualitiative binding of a MHC:ligand complex				cell						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
intracellular cytokine staining assay measuring epitope specific tumor necrosis factor (ligand) superfamily member 11 production by T cells	TNFSF11/RANKL release|ICS	A T cell epitope specific tumor necrosis factor (ligand) superfamily member 11 production assay that uses an intracellular cytokine staining assay.	equivalent to	biological activity assay measuring epitope specific tumor necrosis factor (ligand) superfamily member 11 production by T cells	flow cytometry assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
assay measuring a binding constant of a MHC:ligand complex	binding constant|binding assay	A MHC:ligand binding assay that measures a binding constant.	equivalent to	assay measuring binding of a MHC:ligand complex								binding constant		IEDB	IEDB
purified MHC binding assay measuring binding of a MHC:ligand complex	qualitative binding|purified MHC	A MHC binding qualitative binding to ligand assay using MHC in a purified MHC molecule preparation.	equivalent to	assay measuring qualitiative binding of a MHC:ligand complex				purified MHC molecule preparation						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cell lysate MHC direct binding assay of a MHC:ligand complex using radioactivity detection	qualitative binding|lysate MHC/direct/radioactivity	A cell lysate MHC binding assay that uses radioactivity detection to detect direct binding.	subclass of	cell lysate MHC binding assay measuring binding of a MHC:ligand complex	radioactivity detection			cell lysate						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cell bound MHC direct binding assay measuring half life of a MHC:ligand complex using radioactivity detection	half life|cellular MHC/direct/radioactivity|min	A cell bound MHC ligand half life of binding determination assay that uses radioactivity detection to measure direct ligand binding.	equivalent to	assay measuring the half life of a MHC:ligand complex	radioactivity detection			cell					minute	IEDB	IEDB
cell bound MHC direct binding assay measuring half life of a MHC:ligand complex using fluorescence detection	half life|cellular MHC/direct/fluorescence|min	A cell bound MHC ligand half life of binding determination assay that uses fluorescence detection to measure direct ligand binding.	equivalent to	assay measuring the half life of a MHC:ligand complex	fluorescence detection assay			cell					minute	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cell bound MHC direct binding assay measuring half maximal effective concentration [EC50] of a MHC:ligand complex using fluorescence detection	half maximal effective concentration (EC50)|cellular MHC/direct/fluorescence|nM	A cell bound MHC ligand binding half maximal effective concentration (EC50) determination assay that uses fluorescence detection to measure direct ligand binding.	equivalent to	assay measuring the half maximal effective concentration [EC50] of a MHC:ligand complex	fluorescence detection assay			cell					nanomolar	IEDB	IEDB
intracellular cytokine staining assay measuring epitope specific interleukin-17F production by T cells	IL-17F release|ICS	A T cell epitope specific interleukin-17F production assay that uses an intracellular cytokine staining assay.	equivalent to	biological activity assay measuring epitope specific interleukin-17F production by T cells	flow cytometry assay									IEDB	IEDB
purified MHC competitive binding assay measuring equilibrium dissociation constant [KD] of a MHC:ligand complex approximated by IC50 using radioactivity detection	dissociation constant KD (~IC50)|purified MHC/competitive/radioactivity|nM	A purified MHC ligand binding equilibrium dissociation constant (KD) determination assay that uses radioactivity detection to detect loss of binding of a known reference ligand due to competition by the ligand under investigation and provides IC50 values determined under assay conditions where the IC50 approximates a KD value. 	subclass of	assay measuring the dissociation constant [KD] of a MHC:ligand complex	radioactivity detection	('material entity' and 'has role' some 'competitive binding reference ligand role')		purified MHC molecule preparation					nanomolar	IEDB	IEDB
cell lysate MHC direct binding assay measuring half life of a MHC:ligand complex using radioactivity detection	half life|lysate MHC/direct/radioactivity|min	A cell lysate MHC ligand half life of binding determination assay that uses radioactivity detection to measure direct ligand binding.	equivalent to	assay measuring the half life of a MHC:ligand complex	radioactivity detection			cell lysate					minute	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cell lysate MHC direct binding assay measuring binding off rate [koff] of a MHC:ligand complex using radioactivity detection	off rate|lysate MHC/direct/radioactivity|1/s	A cell lysate MHC ligand binding off rate measurement (koff) determination assay that uses radioactivity detection to measure direct ligand binding.	equivalent to	assay measuring the off rate measurement [koff] of a MHC:ligand complex	radioactivity detection			cell lysate					hertz	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
purified MHC competitive binding assay measuring half maximal inhibitory concentration [IC50] of a MHC:ligand complex using radioactivity detection	half maximal inhibitory concentration (IC50)|purified MHC/competitive/radioactivity|nM	A purified MHC ligand binding half maximal inhibitory concentration (IC50) determination assay that uses radioactivity detection to detect loss of binding of a known reference ligand due to competition by the ligand under investigation.	equivalent to	assay measuring the half maximal inhibitory concentration [IC50] of a MHC:ligand complex	radioactivity detection	('material entity' and 'has role' some 'competitive binding reference ligand role')		purified MHC molecule preparation					nanomolar	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
purified MHC direct binding assay measuring binding off rate [koff] of a MHC:ligand complex using fluorescence detection	off rate|purified MHC/direct/fluorescence|1/s	A purified MHC ligand binding off rate measurement (koff) determination assay that uses fluorescence detection to measure direct ligand binding.	equivalent to	assay measuring the off rate measurement [koff] of a MHC:ligand complex	fluorescence detection assay			purified MHC molecule preparation					hertz	IEDB	IEDB
biological activity assay measuring epitope specific vascular endothelial growth factor production by T cells	VEGF release|biological activity	A T cell epitope specific cytokine production assay that detects vascular endothelial growth factor production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					vascular endothelial growth factor production					IEDB	IEDB
cytometric bead array assay measuring epitope specific intracellular cytokine staining (ICS) IL-22 production by T cells	IL-22 release|cytometric bead array	An assay of epitope specific interleukin-22 production by T cells that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring epitope specific interleukin-22 production by T cells	cytometric bead array assay									IEDB	IEDB
